행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 서구 평리5동(2717066000),"1,751","1,751",68,105,216,177,229,352,342,192,63,5,2
대구광역시 서구 평리6동(2717066100),"5,158","5,158",144,316,632,471,634,"1,120","1,100",504,213,24,0
대구광역시 서구 상중이동(2717067500),"20,247","20,247","1,246","1,688","2,613","2,145","2,964","3,927","3,477","1,527",577,82,1
대구광역시 서구 원대동(2717069500),"7,741","7,741",265,408,964,705,"1,040","1,561","1,446",914,398,40,0
대구광역시 남구 (2720000000),"144,106","144,106","6,707","9,259","20,288","16,803","19,807","24,353","23,817","14,923","7,231",908,10
대구광역시 남구 이천동(2720051500),"12,120","12,120",774,"1,027","1,224","1,251","1,952","1,927","1,713","1,368",767,117,0
대구광역시 남구 봉덕1동(2720053000),"9,093","9,093",367,509,"1,124","1,122","1,306","1,600","1,510",948,553,54,0
대구광역시 남구 봉덕2동(2720054000),"12,021","12,021",842,980,"1,255","1,354","1,671","1,994","1,975","1,193",657,98,2
대구광역시 남구 봉덕3동(2720055000),"16,824","16,824",838,"1,327","2,080","1,840","2,447","2,873","2,798","1,638",872,110,1
대구광역시 남구 대명1동(2720056000),"11,441","11,441",493,732,"1,791","1,371","1,547","2,011","1,879","1,088",455,73,1
대구광역시 남구 대명2동(2720057100),"10,431","10,431",377,615,"1,986","1,292","1,330","1,620","1,552","1,087",515,57,0
대구광역시 남구 대명3동(2720058600),"10,921","10,921",369,612,"1,522","1,141","1,466","1,943","1,977","1,284",544,62,1
대구광역시 남구 대명4동(2720059000),"11,097","11,097",474,624,"1,647","1,207","1,351","1,989","2,052","1,190",504,57,2
대구광역시 남구 대명5동(2720060000),"7,191","7,191",260,397,"1,415",843,853,"1,139","1,126",745,371,41,1
대구광역시 남구 대명6동(2720061000),"9,573","9,573",535,624,"1,440","1,272","1,395","1,556","1,424",864,408,53,2
대구광역시 남구 대명9동(2720064000),"15,785","15,785",757,884,"2,450","2,113","2,288","2,641","2,413","1,520",631,88,0
대구광역시 남구 대명10동(2720065000),"9,168","9,168",327,481,"1,334","1,097","1,177","1,567","1,663",984,487,51,0
대구광역시 남구 대명11동(2720066000),"8,441","8,441",294,447,"1,020",900,"1,024","1,493","1,735","1,014",467,47,0
대구광역시 북구 (2723000000),"436,746","436,746","33,468","42,909","61,783","53,255","71,556","77,530","54,291","28,197","12,323","1,402",32
대구광역시 북구 고성동(2723051000),"4,889","4,889",350,356,567,666,695,773,764,493,193,31,1
대구광역시 북구 칠성동(2723052600),"23,279","23,279","2,339","2,055","2,834","3,647","4,046","3,218","2,634","1,601",796,108,1
대구광역시 북구 침산1동(2723055000),"4,169","4,169",173,204,481,457,476,875,891,416,170,26,0
대구광역시 북구 침산2동(2723056000),"19,250","19,250","2,180","2,270","2,149","2,743","3,687","2,821","1,893","1,015",446,44,2
대구광역시 북구 침산3동(2723057000),"20,213","20,213","1,726","2,260","2,381","2,336","3,467","3,455","2,387","1,476",657,65,3
대구광역시 북구 산격1동(2723061000),"9,408","9,408",253,455,"1,002",731,"1,093","1,887","2,009","1,327",601,47,3
대구광역시 북구 산격2동(2723062000),"10,984","10,984",599,902,"1,630","1,151","1,448","2,232","1,721",884,373,43,1
대구광역시 북구 산격3동(2723063000),"9,050","9,050",281,447,"2,554","1,140","1,015","1,250","1,229",755,338,41,0
대구광역시 북구 산격4동(2723063100),"8,539","8,539",299,479,"1,293","1,019",998,"1,550","1,565",921,374,41,0
